№ пп;Субъект РФ;Муниципальное образование;Поселение;Населенный пункт;Уникальный идентификатор ФИАС;Кол-во СКД ед.;Факт СКД ед.
1;Амурская область;Архаринский Район;;Касаткино Село;3ad79d0d-2a67-431e-baec-6651cd72115c;1;1
2;Амурская область;Архаринский Район;;Кундур Село;9d013463-884c-49ac-a667-50e5b3a37f87;1;1
3;Амурская область;Архаринский Район;;Могилевка Село;4f3c1508-2cbb-427b-be3e-02b0b19d0552;1;1
4;Амурская область;Архаринский Район;;Черноберезовка Село;316b4dd8-2465-4266-a8c9-e1e38ed7e6f9;1;1
5;Амурская область;Архаринский Район;Антоновский сельсовет;Антоновка Село;75ce0230-1799-4d47-814d-64f55fb0db70;1;1
6;Амурская область;Архаринский Район;Антоновский сельсовет;Красная Горка Село;3f8fe9d7-3d77-4e3d-b55f-d92f6cc7c674;1;1
7;Амурская область;Архаринский Район;Аркадьевский сельсовет;Аркадьевка Село;69ea89c6-f818-4e87-a5db-9ca9491f603b;1;1
8;Амурская область;Архаринский Район;Вольненский сельсовет;Вольное Село;b1bcc385-3c63-4e7a-a431-c3b43c5978a4;1;1
9;Амурская область;Архаринский Район;Вольненский сельсовет;Орловка Село;bc9001ba-9d67-4304-ada9-9221a8248611;1;1
10;Амурская область;Архаринский Район;Грибовский сельсовет;Грибовка Село;60413444-4472-4201-b26a-9d74564c56b0;1;1
11;Амурская область;Архаринский Район;Иннокентьевский сельсовет;Иннокентьевка Село;2103ae07-e384-4f28-8b0b-45da914997ac;1;1
12;Амурская область;Архаринский Район;Иннокентьевский сельсовет;Красный Луч Село;a6d8a7da-ac41-4ec9-b3ae-7bfc5fbd9a6d;1;1
13;Амурская область;Архаринский Район;Касаткинский сельсовет;Журавлевка Село;523d5147-d630-4b34-92e0-82ee86cc9315;1;1
14;Амурская область;Архаринский Район;Касаткинский сельсовет;Новопокровка Село;04aea6a9-e539-45ce-8382-882760351f05;1;1
15;Амурская область;Архаринский Район;Касаткинский сельсовет;Сагибово Село;d1b002d5-2b21-4abd-8b48-195f16fdf479;1;1
16;Амурская область;Архаринский Район;Кундурский сельсовет;Казачий Село;2f940220-2263-4117-b589-b90d05c8a984;1;1
17;Амурская область;Архаринский Район;Кундурский сельсовет;Тарманчукан Разъезд;1e537b00-4f79-4af6-9330-b759aef2f8b3;1;1
18;Амурская область;Архаринский Район;Ленинский сельсовет;Красный Исток Село;f8c283c5-7422-427d-82c9-57cbe46c902d;1;1
19;Амурская область;Архаринский Район;Ленинский сельсовет;Ленинское Село;a43466e0-5d44-4b82-99bd-334d2a7f77dd;1;1
20;Амурская область;Архаринский Район;Ленинский сельсовет;Михайловка Село;be26b549-8a4f-44d9-9358-77504844f989;1;1
21;Амурская область;Архаринский Район;Новосергеевский сельсовет;Богучан Станция;5c2d0528-7413-45c0-a2de-395fab266b54;1;1
22;Амурская область;Архаринский Район;Новосергеевский сельсовет;Новосергеевка Село;35a0e20a-73e0-40ea-862d-42bf290f2344;1;1
23;Амурская область;Архаринский Район;Новоспасский сельсовет;Домикан Село;7c473693-5282-4bab-b4ec-978603688314;1;1
24;Амурская область;Архаринский Район;Новоспасский сельсовет;Казановка Село;72ae40a4-8233-4bc3-b237-41207a5ce45a;1;1
25;Амурская область;Архаринский Район;Новоспасский сельсовет;Новоспасск Село;2b2e58f1-0461-4b88-8b60-32e3dcd513f6;1;1
26;Амурская область;Архаринский Район;Новоспасский сельсовет;Свободное Село;65030ad9-aeb9-4e96-920b-b6a01583fe8e;1;1
27;Амурская область;Архаринский Район;Отважненский сельсовет;Заречное Село;d8ffa250-4c42-4889-ad15-295cd6120c23;1;1
28;Амурская область;Архаринский Район;Отважненский сельсовет;Каменный Карьер Село;e5fe59d2-6c95-46c9-a071-57f42008cddd;1;1
29;Амурская область;Архаринский Район;Отважненский сельсовет;Отважное Село;5010f494-0d8e-44ee-8cbc-ed4c92d4f7f0;1;1
30;Амурская область;Архаринский Район;Отважненский сельсовет;Татакан Железнодорожная станция;5731abcf-870c-4e89-9332-cfa6226a71be;1;1
31;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Архара Поселок городского типа;352424f4-1739-48fd-8a2c-e463bc4aed08;2;4
32;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Бон Село;532c0fce-b3be-4f83-bfc8-66019b63f43d;1;1
33;Амурская область;Архаринский Район;рабочий поселок (поселок городского типа) Архара;Журавли Станция;914d895f-2d52-49e1-ad7e-458afc4c2b3e;1;0
34;Амурская область;Архаринский Район;Северный сельсовет;Северное Село;16637a69-324d-4a8e-8277-db644fe65a1a;1;1
35;Амурская область;Архаринский Район;Северный сельсовет;Скобельцино Село;375040a1-094d-4a2c-8b6c-942ad74eb015;1;1
36;Амурская область;Архаринский Район;Северный сельсовет;Украинка Село;42019e47-a121-4ee7-8541-5466e66e7a30;1;1
37;Амурская область;Архаринский Район;Урильский сельсовет;Рачи Станция;6bfb83e8-7194-4373-bfc4-79571698fa4b;1;1
38;Амурская область;Архаринский Район;Урильский сельсовет;Урил Село;f4934f0a-e4f4-422d-8d35-8976f90aefa6;1;1
39;Амурская область;Архаринский Район;Черниговский сельсовет;Гуликовка Село;d4d9a392-7f24-4a27-a67f-85e8676c0ebf;1;1
40;Амурская область;Архаринский Район;Черниговский сельсовет;Домикан Железнодорожная станция;1365b6eb-c1b2-4bf6-b6aa-e4c5672715d5;1;1
41;Амурская область;Архаринский Район;Черниговский сельсовет;Каменка Село;36a50ab9-f318-4cf4-977e-1462c8e34fb7;1;1
42;Амурская область;Архаринский Район;Черниговский сельсовет;Кулусутай Железнодорожная станция;dfb7cd62-de43-42ca-9d0f-6332dd0c4cc3;1;1
43;Амурская область;Архаринский Район;Черниговский сельсовет;Левый берег Село;0323150c-aaf5-412b-b858-8dee5e01bc2a;1;1
44;Амурская область;Архаринский Район;Черниговский сельсовет;Новодомикан Село;8d034035-9a76-46c3-90b7-71c765fd1e43;1;1
45;Амурская область;Архаринский Район;Черниговский сельсовет;Петропавловка Село;02874c27-db2a-406b-a0c2-d641fcddc19e;1;0
46;Амурская область;Архаринский Район;Черниговский сельсовет;Черниговка Село;15b55fb1-a9c4-42e1-bcd1-d98dd2586a51;1;1
47;Амурская область;Архаринский Район;Ядринский сельсовет;Есауловка Железнодорожная станция;8be1b088-1874-43b5-a7e5-d7d9b078af3f;1;1
48;Амурская область;Архаринский Район;Ядринский сельсовет;Ядрино Село;24018d3d-c1a5-4fee-9a97-c958044dfcf2;1;1
49;Амурская область;Белогорск Город;город Белогорск;город Белогорск;c528e99b-7e81-4290-9cda-8713884472a5;3;3
50;Амурская область;Белогорск Город;город Белогорск;Низинное Село;4033b155-1d5e-4ee3-9d56-4588b431f611;1;1
51;Амурская область;Белогорский Район;Амурский сельсовет;Амурское Село;872073cc-9ae8-4d6a-b549-9f61cee51da1;1;1
52;Амурская область;Белогорский Район;Амурский сельсовет;Дубровка Село;efd64645-e163-4943-bdaf-02c18ecac9bd;1;1
53;Амурская область;Белогорский Район;Васильевский сельсовет;Васильевка Село;0d04a9f6-e65a-49c0-82c4-5b0338b0760f;1;1
54;Амурская область;Белогорский Район;Васильевский сельсовет;Круглое Село;a2dec369-8f4a-4742-b30a-6ebf6ec4cbd5;1;1
55;Амурская область;Белогорский Район;Васильевский сельсовет;Междугранка Село;ffe45e08-49bb-449d-b9e9-403650260ea8;1;1
56;Амурская область;Белогорский Район;Васильевский сельсовет;Павловка Село;f5bf56ec-a111-41d4-9ffb-2e11a44a6ca7;1;1
57;Амурская область;Белогорский Район;Великокнязевский сельсовет;Великокнязевка Село;64e2f98e-ecff-463a-9d54-339d32b851ba;1;1
58;Амурская область;Белогорский Район;Великокнязевский сельсовет;Комиссаровка Село;43220b26-a10d-4a48-bc02-d1bbf3e7d357;1;1
59;Амурская область;Белогорский Район;Великокнязевский сельсовет;Новоандреевка Село;d5e35d5c-1661-4055-9b6e-4c2bf4741096;1;1
60;Амурская область;Белогорский Район;Возжаевский сельсовет;Возжаевка Село;96440ec3-9bc2-415e-b38f-68ec7476be1b;1;1
61;Амурская область;Белогорский Район;Кустанаевский сельсовет;Камышовка Село;e070ff0c-13f0-4b00-a743-33ccd887fd02;1;1
62;Амурская область;Белогорский Район;Кустанаевский сельсовет;Кустанаевка Село;1f415de1-5036-4a9c-b10a-ff67807aa432;1;1
63;Амурская область;Белогорский Район;Кустанаевский сельсовет;Лукьяновка Село;120bd7f5-045f-4489-91b1-a21277acea1e;1;1
64;Амурская область;Белогорский Район;Лохвицкий сельсовет;Лохвицы Село;6462b036-a9c1-4ee4-afc1-4777c2338aa7;2;2
65;Амурская область;Белогорский Район;Некрасовский сельсовет;Захарьевка Село;fb78a7ee-c888-47a0-a65b-a4b453ed16d1;1;0
66;Амурская область;Белогорский Район;Некрасовский сельсовет;Некрасовка Село;7ecd3dc3-8e52-4afd-9644-79e386db0fe2;1;2
67;Амурская область;Белогорский Район;Некрасовский сельсовет;Новоназаровка Село;ed7d558e-285f-4725-a4da-e9285787e68b;1;1
68;Амурская область;Белогорский Район;Некрасовский сельсовет;Новоселитьба Село;dd2fc9b4-ee13-408d-b83e-9a7b96a3461b;1;1
69;Амурская область;Белогорский Район;Никольский сельсовет;Киселеозерка Село;7a8e5326-50f8-4a8c-8173-52e746b6c012;1;1
70;Амурская область;Белогорский Район;Никольский сельсовет;Ключи Село;a492ef1b-8abc-4e54-8524-13b01bd1a346;1;1
71;Амурская область;Белогорский Район;Никольский сельсовет;Никольское Село;a17f972f-da06-4081-bb42-ebf7f593918d;2;2
72;Амурская область;Белогорский Район;Новинский сельсовет;Луговое Село;e4c4353a-db6a-4652-96ec-4e7f3fe5df29;1;1
73;Амурская область;Белогорский Район;Новинский сельсовет;Мостовое Село;785da355-69a6-4ad0-a180-4f9359521077;1;0
74;Амурская область;Белогорский Район;Новинский сельсовет;Новое Село;768b13f4-67b8-4255-879f-e60222dee9f8;1;2
75;Амурская область;Белогорский Район;Озерянский сельсовет;Заречное Село;833b517e-8a08-4c79-af1b-fffe904273c8;1;1
76;Амурская область;Белогорский Район;Озерянский сельсовет;Озеряне Село;3f8b078b-fb60-470b-a8da-bdd2bb27e148;1;1
77;Амурская область;Белогорский Район;Озерянский сельсовет;Чернетчено Село;0d68d6ba-4a5e-42ae-84c1-8923714572e8;1;1
78;Амурская область;Белогорский Район;Пригородный сельсовет;Пригородное Село;cd57807a-5668-4aa4-b573-7ca22ae204be;2;2
79;Амурская область;Белогорский Район;Светиловский сельсовет;Светиловка Село;0206120c-751b-4c64-b464-f76844ac2bfb;1;1
80;Амурская область;Белогорский Район;Томичевский сельсовет;Поляное Село;c3443c0e-6909-4c95-b594-068c681629a7;1;1
81;Амурская область;Белогорский Район;Томичевский сельсовет;Томичи Село;53cfa21a-331b-47f2-b43a-bec456c61d31;2;2
82;Амурская область;Белогорский Район;Успеновский сельсовет;Успеновка Село;279598c3-143a-4c05-b8b2-486d26119858;1;1
83;Амурская область;Благовещенск Город;город Благовещенск;Белогорье Село;c555d2d0-aa11-4f0f-8b09-6462f2f844fb;1;1
84;Амурская область;Благовещенск Город;город Благовещенск;Белогорье Станция;7ea191b5-ade5-44ff-937b-35aaff677fe5;1;1
85;Амурская область;Благовещенск Город;город Благовещенск;город Благовещенск;8f41253d-6e3b-48a9-842a-25ba894bd093;13;10
86;Амурская область;Благовещенск Город;город Благовещенск;Новый Поселок;a58258b2-5f85-4c1e-a55a-ab6af4031498;1;1
87;Амурская область;Благовещенск Город;город Благовещенск;Садовое Село;c07cad49-0194-48e2-9423-c13c76d00a52;1;1
88;Амурская область;Благовещенск Город;;жд.ст.Призейская;;1;0
89;Амурская область;Благовещенский Район;;Новотроицкое Село;252bfbd8-0fde-4c0c-a24f-c841a8b4f372;1;1
90;Амурская область;Благовещенский Район;Волковский сельсовет;Волково Село;0d547344-dfa2-4f29-b247-bcc66dde722c;2;1
91;Амурская область;Благовещенский Район;Волковский сельсовет;Ровное Село;efba1286-a414-4727-890c-fa63890d7a9f;1;1
92;Амурская область;Благовещенский Район;Грибский сельсовет;Грибское Село;2bb07e7f-2d4d-498f-b237-a19467156cb1;1;1
93;Амурская область;Благовещенский Район;Грибский сельсовет;Дроново Село;5bddbd9a-54d6-41e2-8282-d3d4670282bb;1;1
94;Амурская область;Благовещенский Район;Грибский сельсовет;Удобное Село;dc905fd6-8361-488c-93e3-9cd57b096475;1;1
95;Амурская область;Благовещенский Район;Гродековский сельсовет;Гродеково Село;73571c0b-e56e-4631-becd-0b44cea71980;1;1
96;Амурская область;Благовещенский Район;Гродековский сельсовет;Заречный Поселок;526a3544-e88c-413a-84f2-9fe61b7f4210;1;1
97;Амурская область;Благовещенский Район;Гродековский сельсовет;Каникурган Село;02397269-9726-422f-af2f-8131b9570a4a;1;1
98;Амурская область;Благовещенский Район;Марковский сельсовет;Марково Село;d5ed3d3d-292e-40b5-9d68-0d7b4eb03cf0;1;1
99;Амурская область;Благовещенский Район;Михайловский сельсовет;Грязнушка Село;5137f5a7-566d-49b0-a6b2-fad14b6979dc;1;1
100;Амурская область;Благовещенский Район;Михайловский сельсовет;Михайловка Село;17cb2866-0c2d-4798-b402-e7456d0e424b;1;1
101;Амурская область;Благовещенский Район;Натальинский сельсовет;Натальино Село;b7ab8ba1-7db3-4b4d-b1e7-10d44da49faf;1;1
102;Амурская область;Благовещенский Район;Новопетровский сельсовет;Егорьевка Село;2e1665ae-a415-4220-badd-757556db94fc;1;1
103;Амурская область;Благовещенский Район;Новопетровский сельсовет;Новинка Село;85c2b26b-72e6-4696-bfc4-39442b16ba6a;1;1
104;Амурская область;Благовещенский Район;Новопетровский сельсовет;Новопетровка Село;99f6a35e-ec92-491b-beb6-2696b9fb87ba;1;1
105;Амурская область;Благовещенский Район;Новопетровский сельсовет;Прядчино Село;c4038c87-1a79-4b83-87b2-afe14fb8fb6e;1;1
106;Амурская область;Благовещенский Район;Новотроицкий сельсовет;Контон-Коммуна Село;4e26b7cd-bd9e-45ab-9d18-207c7f159898;1;1
107;Амурская область;Благовещенский Район;Сергеевский сельсовет;Сергеевка Село;7e2061ec-4d78-45b8-96b1-6c8035269ad7;1;1
108;Амурская область;Благовещенский Район;Усть-Ивановский сельсовет;Владимировка Село;22affeb4-b5e0-46c5-b425-289d2327c9cb;1;1
109;Амурская область;Благовещенский Район;Усть-Ивановский сельсовет;Усть-Ивановка Село;05036a3f-49fc-4adb-af55-dab519497e24;1;1
110;Амурская область;Благовещенский Район;Чигиринский сельсовет;Игнатьево Село;a3426bd9-5af0-48d7-9804-7baa8aa29471;1;1
111;Амурская область;Бурейский Район;Алексеевский сельсовет;Алексеевка Село;f62f81dc-c4c2-42a5-a36b-133b20883243;1;1
112;Амурская область;Бурейский Район;Алексеевский сельсовет;Асташиха Село;cb6cb467-df48-4fdf-b69c-a8cf30849048;1;1
113;Амурская область;Бурейский Район;Виноградовский сельсовет;Виноградовка Село;396b384d-70af-4f3b-a279-b47a1b483aa5;1;1
114;Амурская область;Бурейский Район;Долдыканский сельсовет;Долдыкан Село;d1df812e-b9c8-44b0-9953-8045474fe589;1;1
115;Амурская область;Бурейский Район;Малиновский сельсовет;Гомелевка Село;1ca63638-958a-417d-98d4-8737511f76c9;1;1
116;Амурская область;Бурейский Район;Малиновский сельсовет;Малиновка Село;93ca8483-ce70-4cf1-92dc-6900424d42a6;1;1
117;Амурская область;Бурейский Район;Малиновский сельсовет;Усть-Кивда Село;ee149e9b-b6ac-42a4-96a4-3c954e66b93e;1;1
118;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Бурея;Бурея Поселок городского типа;074cc18a-2db4-49b4-9850-55988e4e9849;2;2
119;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Бурея;Кивдо-Тюкан Село;fa0cfc83-daaa-4ca0-8db3-a7b3e3b8ca6a;1;1
120;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Бурея;Муравка Село;8d307ed5-abdd-41b6-b8b1-0aebf4d7417f;1;1
121;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Новобурейский;Николаевка Село;b76df1e9-334c-40f4-ad45-1f63fc325c87;1;1
122;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Новобурейский;Новобурейский Поселок городского типа;24adc5f8-b795-4c22-92d2-9a749b07adf8;2;2
123;Амурская область;Бурейский Район;рабочий поселок (поселок городского типа) Талакан;Талакан Поселок городского типа;8eaab979-3b82-492e-ac87-3d879e615f44;1;1
124;Амурская область;Бурейский Район;Райчихинский сельсовет;Безозерное Село;4d62d191-9b3c-40cd-8339-316acad41f58;1;1
125;Амурская область;Бурейский Район;Райчихинский сельсовет;Безымянное Село;1924a9f8-309c-4963-bb12-fc86575293f3;1;1
126;Амурская область;Бурейский Район;Родионовский сельсовет;Родионовка Село;7f0b9b29-ed0c-4153-a2d0-89591f7b94ae;1;1
127;Амурская область;Бурейский Район;Родионовский сельсовет;Семеновка Село;4099fd39-a41c-48c4-b28f-84d2a53600e2;1;1
128;Амурская область;Бурейский Район;Родионовский сельсовет;Трехречье Село;cfedf9bb-1008-428a-ac83-ba5430b761ae;1;1
129;Амурская область;Бурейский Район;Старорайчихинский сельсовет;Старая Райчиха Село;940ea47d-7950-4be1-bcac-2eb7ee5a2ba3;1;1
130;Амурская область;Бурейский Район;Успеновский сельсовет;Правая Райчиха Село;00049647-2ab0-44b0-8ac0-4f0f1e753337;1;1
131;Амурская область;Бурейский Район;Успеновский сельсовет;Успеновка Село;15ea2f86-4c03-48a9-b57e-84f1a41c1dd6;1;1
132;Амурская область;Завитинский Район;;Антоновка Село;27c45a46-86b1-4f41-88a3-721f1239c2b3;1;1
133;Амурская область;Завитинский Район;;Верхнеильиновка Село;dd4faad5-32e6-4bd1-8128-5130cdca4351;1;0
134;Амурская область;Завитинский Район;Албазинский сельсовет;Албазинка Село;27ff1ae2-426b-415a-9697-ee46983346d3;1;1
135;Амурская область;Завитинский Район;Албазинский сельсовет;Платово Село;1f1e1c08-38b8-4806-9c10-b2f5246d89f8;1;1
136;Амурская область;Завитинский Район;Антоновский сельсовет;Ленино Село;c8f2467d-c1c0-441d-9d1a-c35c792a9232;1;0
137;Амурская область;Завитинский Район;Белояровский сельсовет;Белый Яр Село;efc6ccd1-7989-4093-b326-b3c69f9a7481;1;1
138;Амурская область;Завитинский Район;Болдыревский сельсовет;Аврамовка Село;baedba8d-9185-4197-b8c7-a0d4a61cdd30;1;1
139;Амурская область;Завитинский Район;Болдыревский сельсовет;Болдыревка Село;2719ae95-16e5-4c1a-9192-382446c87a59;1;1
140;Амурская область;Завитинский Район;город Завитинск;Завитинск Город;7b39476f-0edb-4bc3-bb31-6cedfb2aa695;1;1
141;Амурская область;Завитинский Район;город Завитинск;Завитинск Город;de6a0c85-2595-42c6-8abc-2ace8b5b934e;1;1
142;Амурская область;Завитинский Район;город Завитинск;Новоалексеевка Село;34de0e70-ec4a-4df9-8e45-ae0b6f210bb8;1;1
143;Амурская область;Завитинский Район;Иннокентьевский сельсовет;Демьяновка Село;3482b970-f14b-456e-8321-5b60aeb32879;1;1
144;Амурская область;Завитинский Район;Иннокентьевский сельсовет;Ивановка Село;4b4a4049-8996-4c1a-8fb8-65452066a7ab;1;0
145;Амурская область;Завитинский Район;Иннокентьевский сельсовет;Иннокентьевка Село;0e3dc7e2-5da7-4d49-915e-cc2bbf214349;1;1
146;Амурская область;Завитинский Район;Куприяновский сельсовет;Куприяновка Село;dbb1d734-d550-47bd-8952-8e2798a2e2ab;1;1
147;Амурская область;Завитинский Район;Куприяновский сельсовет;Подоловка Село;ff01a5c4-75ed-427c-bd3f-5438704f627e;1;1
148;Амурская область;Завитинский Район;Куприяновский сельсовет;Федоровка Село;3e9d1607-736c-43ca-b198-700f021efb65;1;1
149;Амурская область;Завитинский Район;Преображеновский сельсовет;Валуево Село;4b9dd1da-6540-48f3-b2bc-cebd428bbd06;1;1
150;Амурская область;Завитинский Район;Преображеновский сельсовет;Дея Село;bc7bb45f-29b5-4921-85b3-90f9faecdaec;1;1
151;Амурская область;Завитинский Район;Преображеновский сельсовет;Преображеновка Село;1609cefc-043a-49c3-9cc6-9a70a2bccfdc;1;1
152;Амурская область;Завитинский Район;Успеновский сельсовет;Камышенка Село;3eae69f0-a826-44b8-b218-d73913ff77f1;1;1
153;Амурская область;Завитинский Район;Успеновский сельсовет;Успеновка Село;bcaac75e-bf95-4bb7-a302-6813fca07b76;1;1
154;Амурская область;Зейский Район;;Октябрьский Село;20fe4697-bcce-41aa-b3f8-2964136b1f46;1;1
155;Амурская область;Зейский Район;Алгачинский сельсовет;Алгач Село;af2dafc0-bdd6-4621-a6e5-e47c767a7fdf;1;1
156;Амурская область;Зейский Район;Амуро-Балтийский сельсовет;Амуро-Балтийск Село;c2aa01a0-1e16-43b9-a98d-fa144e0979cf;1;1
157;Амурская область;Зейский Район;Береговой сельсовет;Береговой Поселок;aa8feee1-92c5-415c-a4fb-6f867f815423;1;0
158;Амурская область;Зейский Район;Береговой сельсовет;Кировский Село;7484e8ab-c903-49cd-b288-6073d7e6948e;1;0
159;Амурская область;Зейский Район;Бомнакский сельсовет;Бомнак Село;a17347d7-318f-4093-b6f1-bed56627f2da;1;1
160;Амурская область;Зейский Район;Золотогорский сельсовет;Золотая Гора Село;f86da35c-aaf4-44ff-ad00-d0b22f6b8770;1;1
161;Амурская область;Зейский Район;Ивановский сельсовет;Ивановка Село;3acde5dc-ffb8-4f84-aa5c-3f238c1bc2e4;1;1
162;Амурская область;Зейский Район;Николаевский сельсовет;Александровка Село;2e1211d0-7747-46a3-aa66-f28057f72961;1;1
163;Амурская область;Зейский Район;Николаевский сельсовет;Березовка Село;fe1fcefb-98e0-4096-8891-55a856054c06;1;0
164;Амурская область;Зейский Район;Николаевский сельсовет;Николаевка-1 Село;b879befd-f075-49c0-b9bd-c0ab287d8e24;1;1
165;Амурская область;Зейский Район;Николаевский сельсовет;Николаевка-2 Село;ec2e8678-f75f-4b9c-a159-113fdd333aad;1;1
166;Амурская область;Зейский Район;Овсянковский сельсовет;Овсянка Село;44329de8-cede-45ef-88a4-a2466f1a6892;1;1
167;Амурская область;Зейский Район;Поляковский сельсовет;Поляковский Поселок;04138021-7568-4563-a64b-a40ff918742c;1;1
168;Амурская область;Зейский Район;Сианский сельсовет;Сиан Село;b9edd122-1fd7-42b8-85e3-3a0a07d4e5ff;1;1
169;Амурская область;Зейский Район;Снежногорский сельсовет;Снежногорский Поселок;6478ec7b-904b-427e-8c57-25f85ce1a3cb;1;1
170;Амурская область;Зейский Район;Сосновоборский сельсовет;Гулик Село;be3fb653-b1dd-44ed-b0f0-7608698fad54;1;1
171;Амурская область;Зейский Район;Сосновоборский сельсовет;Заречная Слобода Село;dddc582b-addb-419a-8fce-302c39bbb84c;1;1
172;Амурская область;Зейский Район;Сосновоборский сельсовет;Сосновый Бор Село;1d33910b-9d2b-495a-8686-20533332e8c9;1;1
173;Амурская область;Зейский Район;Умлеканский сельсовет;Рублевка Село;6a54692c-92a2-4363-a238-0372aafbe23c;1;1
174;Амурская область;Зейский Район;Умлеканский сельсовет;Умлекан Село;d074eb41-7631-4fdc-b443-a30334d27941;1;1
175;Амурская область;Зейский Район;Хвойненский сельсовет;Хвойный Поселок;797ea8d4-9066-4220-8571-f9154d5a0b99;1;1
176;Амурская область;Зейский Район;Чалбачинский сельсовет;Чалбачи Село;a15b0d73-be1e-4caf-927d-f0fa4430205f;1;1
177;Амурская область;Зейский Район;Юбилейненский сельсовет;Юбилейный Поселок;62d9c470-faa8-4126-bc28-012e6e211a6c;1;1
178;Амурская область;Зея Город;город Зея;город Зея;581855f4-f0bc-44a5-a36e-a298279f9ec4;2;2
179;Амурская область;Ивановский Район;;Вознесеновка Село;b3862088-6fd9-4ab0-8a31-5e02b7cb9dce;1;1
180;Амурская область;Ивановский Район;;Ивановка Село;8c99b7f8-c7ca-42d6-aab3-a8a77132e889;1;1
181;Амурская область;Ивановский Район;;Успеновка Село;dcd38b7b-39ed-4950-9970-41c4861f80e0;1;1
182;Амурская область;Ивановский Район;Андреевский сельсовет;Андреевка Село;703fd2be-618b-45ba-afcf-b5408d8a6c33;1;1
183;Амурская область;Ивановский Район;Андреевский сельсовет;Богословка Село;41649dbd-1fa7-4d0f-9d04-a08b6254c5a6;1;1
184;Амурская область;Ивановский Район;Анновский сельсовет;Анновка Село;7f536cc6-ae63-4216-9ed7-e91adaddc355;1;1
185;Амурская область;Ивановский Район;Анновский сельсовет;Большеозерка Село;ca40a311-10b8-4c4e-b072-4016be245a21;1;1
186;Амурская область;Ивановский Район;Анновский сельсовет;Вишневка Село;170d0dd7-c406-4b56-a63a-16308ceaa4b2;1;1
187;Амурская область;Ивановский Район;Березовский сельсовет;Березовка Село;8a3d7e52-382e-4e9e-a06d-05bcb79f0900;1;1
188;Амурская область;Ивановский Район;Дмитриевский сельсовет;Дмитриевка Село;38051aac-4559-4881-bab9-b793a82ed9cd;1;1
189;Амурская область;Ивановский Район;Ерковецкий сельсовет;Ерковцы Село;5262b09f-a944-4322-a4a3-8be0542ea10e;1;1
190;Амурская область;Ивановский Район;Ерковецкий сельсовет;Черкасовка Село;87f765e2-f841-40e3-bd50-3d06efca83c4;1;1
191;Амурская область;Ивановский Район;Ивановский сельсовет;Крещеновка Село;ab4f9fe6-1636-47d4-928e-25bc4ed5a567;1;1
192;Амурская область;Ивановский Район;Ивановский сельсовет;Луговое Село;3e0dbf79-07ee-4c38-a6e2-0c3c4900480d;1;1
193;Амурская область;Ивановский Район;Константиноградовский сельсовет;Константиноградовка Село;ae095014-fda7-4a63-8486-e86bdd47df84;1;1
194;Амурская область;Ивановский Район;Николаевский сельсовет;Николаевка Село;a5f762ad-eefe-434c-84a0-8f804e057a83;1;1
195;Амурская область;Ивановский Район;Николаевский сельсовет;Новопокровка Село;6212df98-00da-4cb8-95cb-14890cdb1a7a;1;1
196;Амурская область;Ивановский Район;Новоалексеевский сельсовет;Новоалексеевка Село;6f0ff187-5c73-4db6-ac1f-940a8b35137c;1;1
197;Амурская область;Ивановский Район;Новоалексеевский сельсовет;Ракитное Село;b1b43e41-0bf7-4b7e-8cfe-6a95c9888d51;1;1
198;Амурская область;Ивановский Район;Новоивановский сельсовет;Полевое Село;82158c55-23fe-435e-a3ed-296ba80b46f0;1;1
199;Амурская область;Ивановский Район;Новоивановский сельсовет;Среднебелое Село;a49f8ba4-f15d-45db-bd55-a2002ad8d696;1;1
200;Амурская область;Ивановский Район;Петропавловский сельсовет;Петропавловка Село;9660498e-ce44-4277-a33f-b1a1ce9cb77b;1;1
201;Амурская область;Ивановский Район;Правовосточный сельсовет;Некрасовка Село;e556f247-4498-4df7-b958-fd665f785d7f;1;1
202;Амурская область;Ивановский Район;Правовосточный сельсовет;Правовосточное Село;2ddd3291-f5e8-4ccf-9695-5f707fde525f;1;1
203;Амурская область;Ивановский Район;Правовосточный сельсовет;Садовое Село;0faf9e67-83c9-48e8-825d-b6a9c34a4eee;1;1
204;Амурская область;Ивановский Район;Приозерный сельсовет;Надежденское Село;f7290b64-8b3f-475e-a3df-20a1c2077fec;1;1
205;Амурская область;Ивановский Район;Приозерный сельсовет;Солнечное Село;d1d12893-4aed-4f43-aeb7-06480c893d43;1;1
206;Амурская область;Ивановский Район;Семиозерский сельсовет;Семиозерка Село;ca7f1eb7-dd0b-4d18-a1ee-f8134e49ddda;1;1
207;Амурская область;Ивановский Район;Среднебельский сельсовет;Приозерное Село;cd08a859-bb10-4ed3-9c7b-93c978499e78;1;1
208;Амурская область;Ивановский Район;Среднебельский сельсовет;Среднебелая Село;1210b029-de80-48a9-9a37-b2aa9f97b749;1;1
